216,814,881
246,748,365
397,163,709
164,197,271
813,592,827
292,416,377
56,99,429
606,763,343
103,356,325
975,858,300
535,818,860
95,563,44
284,688,997
324,58,906
767,432,325
732,22,426
234,713,758
818,561,419
232,612,578
458,984,398
278,568,738
916,909,290
768,846,693
238,739,141
233,7,161
256,636,69
468,354,43
333,28,998
655,786,233
416,668,178
895,744,995
558,863,896
105,257,798
573,839,552
596,310,736
625,46,154
279,998,85
831,787,273
909,361,548
71,914,176
562,67,409
418,785,954
237,589,64
508,638,825
189,856,532
899,300,846
499,30,884
992,269,41
929,442,515
803,883,922
91,825,444
101,713,671
218,597,198
646,178,578
111,718,707
792,190,464
160,484,957
149,403,267
479,469,949
920,899,777
75,280,616
665,68,94
677,273,941
518,338,35
961,451,856
58,286,413
289,583,914
30,186,252
529,945,590
420,513,197
355,803,599
8,582,952
170,601,762
693,932,461
790,461,934
778,243,495
911,626,231
252,346,750
702,412,466
796,663,395
113,220,370
304,922,774
832,736,550
843,36,675
329,887,790
993,672,202
856,937,50
100,689,307
546,661,717
920,662,787
130,424,820
474,674,623
126,449,223
465,888,467
45,245,385
406,468,631
516,561,23
232,78,60
790,963,904
780,280,254
109,593,262
269,706,310
292,297,877
130,595,43
607,979,692
913,939,74
415,156,26
538,824,88
926,487,95
421,478,610
734,750,944
444,808,854
472,958,341
140,314,757
532,177,160
265,607,8
216,658,843
152,625,554
677,414,769
741,481,118
923,963,153
430,68,730
921,686,536
616,227,19
989,936,471
668,135,320
460,267,7
407,970,868
348,36,742
784,690,804
110,298,7
14,831,947
193,953,677
434,259,26
156,922,615
139,481,426
204,212,263
350,930,772
848,5,888
84,818,256
252,685,250
49,468,829
943,241,892
615,333,316
812,87,397
184,339,656
679,915,209
182,439,335
320,378,938
478,69,897
266,174,939
668,722,757
101,124,557
126,624,816
634,105,672
885,614,957
483,533,491
265,907,987
192,22,813
75,912,401
940,909,67
215,560,477
916,671,336
60,197,197
89,265,498
525,199,459
484,391,460
754,730,369
223,148,76
919,961,329
838,759,716
343,853,253
602,221,577
498,601,744
953,824,321
32,153,350
573,317,307
531,359,521
698,166,512
639,465,841
244,728,974
706,221,856
901,789,512
34,397,74
729,654,672
616,640,944
681,151,737
29,5,999
759,653,359
964,808,529
688,895,981
303,562,456
360,222,458
282,13,602
428,742,217
293,819,389
965,933,570
137,129,61
226,834,535
795,842,388
447,584,131
871,461,187
31,795,980
105,346,722
555,915,476
127,636,18
5,229,314
56,45,342
336,951,421
497,919,480
404,622,684
719,333,832
984,607,638
378,40,750
440,863,974
643,902,773
900,587,242
451,453,285
653,940,983
657,113,855
291,488,826
330,228,688
873,679,25
152,133,773
485,143,797
830,17,523
479,682,622
405,780,239
844,504,826
732,179,175
41,586,896
530,811,984
865,757,783
630,756,227
315,3,812
775,875,62
160,188,50
975,105,199
326,185,47
750,329,655
956,50,734
808,578,50
79,922,443
953,507,394
759,235,776
377,391,572
574,482,592
868,805,418
823,582,477
999,847,81
757,369,687
318,641,567
781,850,373
932,183,678
220,271,95
416,926,352
289,197,637
736,729,228
179,395,507
554,41,373
70,429,935
770,387,246
782,686,989
452,912,888
541,974,481
633,207,770
523,237,882
521,255,868
625,882,227
498,449,12
389,913,816
22,384,486
568,763,959
958,904,838
549,601,829
771,739,839
163,315,923
376,122,412
832,323,489
405,739,825
805,13,215
610,851,90
361,879,282
952,138,148
82,806,760
85,223,415
965,46,708
901,357,418
776,207,775
721,829,584
908,380,790
803,584,21
66,866,956
118,812,844
502,41,600
771,831,544
591,918,421
190,31,912
132,779,936
808,594,565
684,879,266
641,758,632
663,30,747
486,994,366
616,778,949
846,998,826
69,390,886
622,664,766
548,480,259
868,74,381
8,378,65
45,89,337
250,672,585
810,78,248
722,91,272
442,409,442
932,890,472
736,54,610
425,832,96
616,949,418
744,655,168
660,741,544
321,387,431
541,64,13
81,227,385
723,633,565
310,263,797
630,75,384
156,52,555
828,116,38
441,944,85
81,167,595
85,821,521
281,111,10
458,97,536
16,588,856
995,397,348
732,556,211
446,774,428
398,439,789
861,23,60
91,861,55
274,144,452
967,530,507
97,381,324
840,625,893
561,669,474
419,913,713
98,878,800
371,186,271
125,256,633
948,701,660
29,758,387
874,785,829
736,485,220
598,187,641
269,113,195
896,308,88
797,620,590
964,779,161
850,803,423
91,225,203
944,85,459
915,64,776
540,766,871
366,656,986
217,429,520
456,705,699
517,884,519
14,433,418
493,955,324
625,766,112
53,821,257
29,942,14
348,942,538
749,314,838
541,949,714
970,382,49
865,249,661
674,963,906
474,728,586
2,205,903
713,569,672
926,555,621
715,270,615
255,102,903
579,920,253
681,921,942
113,585,976
761,752,258
980,351,690
98,86,212
966,984,547
361,762,326
839,938,335
77,477,703
438,553,940
24,640,1
36,89,967
756,378,562
554,164,450
140,18,652
269,532,415
417,375,208
194,871,491
164,819,51
564,45,872
493,698,963
82,415,159
85,449,722
698,142,306
414,802,240
622,900,167
262,734,737
565,39,435
886,569,632
532,763,570
135,820,777
27,125,608
422,812,133
544,602,941
150,447,341
271,746,418
189,226,873
30,528,529
633,949,96
682,745,776
121,768,630
584,785,286
220,906,814
507,38,78
669,279,704
898,933,737
52,78,851
221,201,708
941,625,834
316,270,15
229,207,271
503,770,928
39,160,39
46,403,204
3,249,830
574,362,6
230,43,39
216,391,861
441,805,438
60,782,767
82,301,711
336,457,580
405,999,854
449,627,40
316,493,641
685,407,717
621,954,162
204,578,416
5,676,726
8,786,609
890,88,943
648,276,686
360,907,409
939,336,940
137,712,697
481,568,80
1,749,584
585,927,98
70,301,167
936,605,848
334,376,989
807,39,828
186,426,14
19,431,447
713,240,679
401,760,935
957,16,648
684,799,649
983,776,802
917,296,773
206,740,977
850,407,991
26,231,509
647,128,264
838,682,775
289,615,828
969,619,111
946,943,917
768,13,537
120,441,415
804,402,263
914,802,541
862,441,883
448,26,187
882,727,485
202,629,813
584,994,495
599,810,550
339,966,488
754,491,415
351,220,561
578,533,92
885,406,27
403,359,541
856,969,985
425,427,379
271,709,411
165,610,466
198,507,452
476,914,234
317,863,474
897,149,275
162,653,909
325,385,131
379,808,326
175,494,70
34,51,747
67,817,295
202,901,967
251,869,867
558,801,563
487,150,34
655,775,981
567,928,864
476,812,338
788,865,522
130,278,835
139,381,604
280,638,474
475,390,542
67,77,938
582,915,342
676,554,523
698,4,554
372,296,739
12,113,172
645,284,520
457,138,499
675,163,877
411,236,277
223,182,38
747,342,545
115,651,240
326,254,623
39,211,553
143,502,11
330,692,384
950,422,738
520,529,909
532,374,718
351,672,74
260,431,321
119,555,628
510,81,555
484,720,123
173,711,460
716,980,822
812,110,341
729,346,179
248,507,28
352,148,868
160,986,962
773,922,304
270,315,745
806,96,917
590,123,942
587,934,950
262,78,936
605,25,1000
817,932,317
815,602,845
824,122,480
63,804,655
206,208,799
402,501,311
711,458,310
820,762,855
846,223,726
70,655,361
869,201,863
570,78,724
62,106,59
492,296,812
678,552,64
898,772,32
248,518,482
272,216,612
181,499,961
142,476,980
853,691,436
538,466,836
425,668,525
111,989,521
465,650,208
754,208,944
639,773,361
421,99,932
325,668,11
831,534,115
869,961,772
880,256,990
773,336,494
403,631,942
86,981,783
578,176,392
652,730,533
66,990,915
353,409,303
84,909,665
775,724,301
51,401,700
144,997,426
744,561,581
18,337,76
497,610,746
686,25,685
47,20,811
136,505,206
968,428,611
144,291,218
81,758,213
125,839,324
751,900,632
982,787,160
92,845,919
524,922,81
398,226,105
498,654,28
264,729,625
432,703,121
338,248,236
122,669,423
39,457,975
653,209,867
742,278,455
153,705,323
677,375,418
779,116,686
704,364,297
108,697,397
452,354,320
513,260,712
5,198,864
18,419,585
836,942,940
443,411,866
151,758,961
709,509,26
833,248,251
124,140,701
288,82,767
425,854,751
660,777,373
633,849,235
418,943,396
850,681,391
983,191,673
738,700,917
729,385,743
493,595,778
713,247,534
234,626,270
994,466,654
796,408,801
933,221,735
590,134,981
112,407,505
698,940,854
798,7,72
938,950,96
53,447,944
868,412,290
477,566,781
668,696,284
585,68,939
812,627,334
685,501,170
641,617,682
392,180,400
903,271,214
29,251,426
720,404,244
396,632,24
817,128,611
598,303,925
974,327,133
453,163,185
212,127,538
515,893,735
414,478,708
619,476,246
51,737,824
56,188,640
345,717,937
451,795,594
61,94,501
142,561,460
924,566,332
438,440,749
302,420,13
395,750,679
138,135,634
500,250,324
341,795,772
993,342,374
180,442,514
703,686,676
821,121,361
275,461,984
970,417,634
170,943,812
760,732,439
932,595,40
675,187,95
651,906,897
798,313,219
734,361,658
225,464,78
527,718,242
781,685,183
334,987,751
449,415,453
514,358,992
441,898,557
393,445,627
449,666,27
712,31,165
957,861,205
624,458,685
660,287,133
337,39,663
660,309,841
708,693,217
786,666,203
718,217,367
67,749,621
259,151,793
329,138,526
614,384,304
50,311,833
98,714,868
261,252,692
153,786,619
767,342,378
463,629,614
930,798,96
969,901,974
25,564,358
290,280,615
210,454,80
826,460,691
74,887,575
639,862,433
883,80,394
345,681,308
875,668,708
381,60,986
893,737,282
8,831,459
187,727,721
898,300,964
154,215,776
914,755,62
338,494,286
708,737,766
172,659,666
858,996,678
478,899,396
984,717,896
878,277,879
895,201,501
947,330,675
37,232,615
940,922,783
324,825,737
453,215,37
440,661,550
716,948,921
857,107,869
18,14,177
783,808,827
653,685,241
951,478,912
489,37,839
753,252,67
389,390,400
543,756,704
615,618,23
64,60,897
998,701,655
490,770,549
272,484,715
523,609,764
825,454,278
71,192,547
205,358,992
268,41,2
618,456,191
988,497,22
523,2,608
751,212,546
247,629,850
331,473,284
825,393,349
240,195,383
554,358,281
798,606,456
247,786,378
601,567,932
275,478,98
608,298,360
238,235,269
773,120,639
659,508,953
928,583,836
334,169,891
648,686,730
133,608,239
751,262,61
736,453,756
115,877,160
764,571,494
761,13,595
161,279,667
959,149,283
708,747,333
180,297,363
474,218,253
842,30,622
781,714,562
451,378,99
845,782,194
878,45,786
230,181,196
9,339,622
855,798,162
367,107,726
284,463,222
739,912,318
861,217,562
431,875,925
813,820,510
987,302,217
435,202,60
910,944,853
14,841,386
231,752,936
343,432,159
30,613,621
554,820,557
223,125,237
979,733,72
661,205,151
624,164,916
760,940,123
599,569,41
284,816,260
162,310,167
341,10,349
641,914,209
271,533,23
648,134,621
60,703,194
730,813,647
616,335,588
874,909,667
